                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.92583,                0.79832,                 1.1701,                 1.0217,                0.85071,                 1.1808,                0.50933,                0.57312,                0.45384,                0.25653,                  1.639,                 1.9278,                 1.9721,                 1.6861,                 2.1398,                 1.8645,             0.00080303,             0.00080303,             0.00080303
                     45,                 0.9213,                0.79178,                  1.162,                 1.0153,                0.84367,                 1.1713,                0.52072,                 0.5705,                0.46976,                0.25999,                 1.6453,                 1.8877,                 1.9473,                 1.6989,                 2.1324,                 1.8503,              0.0007957,              0.0007957,              0.0007957
                     46,                0.92082,                0.78649,                  1.162,                 1.0166,                0.83993,                 1.1719,                0.52223,                0.55374,                0.44918,                0.25212,                 1.6354,                 1.8296,                 1.9602,                  1.683,                 2.0675,                 1.8524,             0.00078837,             0.00078837,             0.00078837
                     47,                0.91234,                0.96424,                 1.1539,                 1.0071,                0.86549,                  1.165,                 0.5357,                0.57785,                0.47118,                  0.261,                 1.6509,                 1.8555,                 1.9629,                 1.6915,                 2.1258,                 1.8506,             0.00078103,             0.00078103,             0.00078103
                     48,                0.90844,                 0.7643,                 1.1527,                 1.0035,                0.81686,                 1.1635,                 0.5267,                0.53099,                0.46244,                0.26395,                 1.6682,                 1.9214,                 1.9899,                 1.7071,                 2.1791,                 1.8677,              0.0007737,              0.0007737,              0.0007737
                     49,                0.91179,                 0.7786,                 1.1564,                 1.0036,                 0.8284,                 1.1665,                0.52232,                 0.5525,                0.45389,                0.25266,                 1.6825,                 1.8982,                 1.9939,                  1.704,                 2.1655,                 1.8685,             0.00076637,             0.00076637,             0.00076637
                     50,                0.90279,                0.77977,                 1.1412,                0.99472,                 0.8301,                 1.1527,                0.51195,                0.53459,                0.44503,                0.25035,                  1.676,                  1.953,                  1.965,                 1.7039,                 2.2128,                 1.8562,             0.00075904,             0.00075904,             0.00075904
                     51,                0.90108,                0.78389,                 1.1455,                0.99403,                0.82152,                 1.1567,                0.52649,                0.53122,                0.44953,                0.25338,                 1.6814,                 1.9088,                 1.9846,                 1.7261,                 2.1614,                 1.8766,              0.0007517,              0.0007517,              0.0007517
                     52,                0.89751,                0.75954,                 1.1492,                0.99224,                0.80694,                 1.1596,                0.53135,                0.55127,                0.46853,                0.26794,                  1.656,                 1.8581,                 1.9781,                 1.6917,                 2.0908,                 1.8513,             0.00074437,             0.00074437,             0.00074437
                     53,                0.90003,                0.74598,                 1.1444,                0.99399,                0.79033,                 1.1556,                0.53448,                0.56352,                0.47075,                 0.2669,                 1.6664,                 1.8807,                 1.9895,                 1.6997,                 2.1444,                  1.859,             0.00073704,             0.00073704,             0.00073704
                     54,                0.90235,                0.76201,                 1.1471,                0.99614,                0.80686,                  1.156,                0.54825,                0.55784,                0.47914,                0.27588,                 1.6503,                 1.9061,                 1.9743,                 1.6975,                 2.1434,                 1.8738,              0.0007297,              0.0007297,              0.0007297
                     55,                0.89482,                 0.7459,                 1.1393,                0.98792,                0.79261,                 1.1504,                0.51342,                0.55525,                0.44344,                0.25116,                 1.6803,                 1.9729,                 1.9804,                 1.7023,                  2.237,                 1.8652,             0.00072237,             0.00072237,             0.00072237
                     56,                0.89162,                0.74193,                 1.1401,                0.98421,                0.78775,                 1.1514,                0.53428,                0.56724,                0.47008,                0.26243,                 1.6578,                 1.9139,                 1.9477,                 1.6957,                 2.1655,                 1.8559,             0.00071504,             0.00071504,             0.00071504
                     57,                0.89387,                0.72924,                 1.1357,                0.98771,                0.76979,                 1.1482,                0.54202,                0.55907,                0.45631,                0.25272,                 1.6619,                 1.9129,                 2.0013,                  1.696,                 2.1503,                 1.8835,             0.00070771,             0.00070771,             0.00070771
                     58,                0.89055,                0.72846,                 1.1422,                0.98422,                 0.7709,                 1.1544,                0.51437,                0.56476,                0.45472,                0.25305,                 1.6702,                 1.9354,                 1.9736,                 1.6965,                 2.1924,                 1.8642,             0.00070037,             0.00070037,             0.00070037
